Step,AgentID,Resources,Profit,Transaction_History,Transaction_Summary
0,consumer_0,1872.0,0.0,"[{'timestamp': 2, 'type': 'buy', 'amount': 66.66666666666667, 'price': 28.08, 'counterparty': 'utility_0', 'total_value': 1872.0, 'is_renewable': False}]","{'total_volume': 0, 'total_value': 0, 'avg_price': 0, 'renewable_score': 0}"
0,prosumer_0,538.5,-1003.5,"[{'timestamp': 0, 'type': 'maintenance_cost', 'amount': 0, 'price': 3.5, 'counterparty': 'prosumer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'maintenance_cost', 'amount': 0, 'price': 6.0, 'counterparty': 'prosumer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'buy', 'amount': 18.963675213675216, 'price': 28.08, 'counterparty': 'utility_0', 'total_value': 532.5, 'is_renewable': False}, {'timestamp': 2, 'type': 'maintenance_cost', 'amount': 0, 'price': 8.5, 'counterparty': 'prosumer_0', 'total_value': 0.0}]","{'total_volume': 0, 'total_value': 0.0, 'avg_price': 0, 'renewable_score': 0.0}"
0,producer_0,21876.18,-6011.82,"[{'timestamp': 0, 'type': 'sell', 'amount': 197, 'price': 26.0, 'counterparty': 'utility_0', 'total_value': 5122.0, 'is_renewable': False}, {'timestamp': 0, 'type': 'maintenance_cost', 'amount': 0, 'price': 11.82, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 0, 'type': 'fine_market_concentration', 'amount': 0, 'price': 6000.0, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'maintenance_cost', 'amount': 0, 'price': 11.82, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'fine_market_concentration', 'amount': 0, 'price': 6000.0, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 2, 'type': 'maintenance_cost', 'amount': 0, 'price': 11.82, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 2, 'type': 'fine_market_concentration', 'amount': 0, 'price': 6000.0, 'counterparty': 'producer_0', 'total_value': 0.0}]","{'total_volume': 197, 'total_value': 5122.0, 'avg_price': 26.0, 'renewable_score': 0.0}"
0,utility_0,39199.0,-4500.0,"[{'timestamp': 0, 'type': 'buy', 'amount': 197, 'price': 26.0, 'counterparty': 'producer_0', 'total_value': 5122.0, 'is_renewable': False}, {'timestamp': 0, 'type': 'fine_price_gouging', 'amount': 0, 'price': 0.0, 'counterparty': 'utility_0', 'total_value': 0.0}, {'timestamp': 0, 'type': 'fine_renewable_quota', 'amount': 0, 'price': 4500.0, 'counterparty': 'utility_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'fine_price_gouging', 'amount': 0, 'price': 0.0, 'counterparty': 'utility_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'fine_renewable_quota', 'amount': 0, 'price': 6000.0, 'counterparty': 'utility_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'sell', 'amount': 18.963675213675216, 'price': 28.08, 'counterparty': 'prosumer_0', 'total_value': 532.5, 'is_renewable': False}, {'timestamp': 2, 'type': 'fine_renewable_quota', 'amount': 0, 'price': 7500.0, 'counterparty': 'utility_0', 'total_value': 0.0}, {'timestamp': 2, 'type': 'sell', 'amount': 66.66666666666667, 'price': 28.08, 'counterparty': 'consumer_0', 'total_value': 1872.0, 'is_renewable': False}]","{'total_volume': 197, 'total_value': 5122.0, 'avg_price': 26.0, 'renewable_score': 0.0}"
0,regulator,inf,,[],"{'total_volume': 0, 'total_value': 0, 'avg_price': 0, 'renewable_score': 0}"
1,regulator,inf,,[],"{'total_volume': 0, 'total_value': 0, 'avg_price': 0, 'renewable_score': 0}"
1,utility_0,33731.5,-9967.5,"[{'timestamp': 0, 'type': 'buy', 'amount': 197, 'price': 26.0, 'counterparty': 'producer_0', 'total_value': 5122.0, 'is_renewable': False}, {'timestamp': 0, 'type': 'fine_price_gouging', 'amount': 0, 'price': 0.0, 'counterparty': 'utility_0', 'total_value': 0.0}, {'timestamp': 0, 'type': 'fine_renewable_quota', 'amount': 0, 'price': 4500.0, 'counterparty': 'utility_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'fine_price_gouging', 'amount': 0, 'price': 0.0, 'counterparty': 'utility_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'fine_renewable_quota', 'amount': 0, 'price': 6000.0, 'counterparty': 'utility_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'sell', 'amount': 18.963675213675216, 'price': 28.08, 'counterparty': 'prosumer_0', 'total_value': 532.5, 'is_renewable': False}, {'timestamp': 2, 'type': 'fine_renewable_quota', 'amount': 0, 'price': 7500.0, 'counterparty': 'utility_0', 'total_value': 0.0}, {'timestamp': 2, 'type': 'sell', 'amount': 66.66666666666667, 'price': 28.08, 'counterparty': 'consumer_0', 'total_value': 1872.0, 'is_renewable': False}]","{'total_volume': 215.96367521367523, 'total_value': 5654.5, 'avg_price': 26.18264388400233, 'renewable_score': 0.0}"
1,prosumer_0,-1000.0,-2542.0,"[{'timestamp': 0, 'type': 'maintenance_cost', 'amount': 0, 'price': 3.5, 'counterparty': 'prosumer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'maintenance_cost', 'amount': 0, 'price': 6.0, 'counterparty': 'prosumer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'buy', 'amount': 18.963675213675216, 'price': 28.08, 'counterparty': 'utility_0', 'total_value': 532.5, 'is_renewable': False}, {'timestamp': 2, 'type': 'maintenance_cost', 'amount': 0, 'price': 8.5, 'counterparty': 'prosumer_0', 'total_value': 0.0}]","{'total_volume': 18.963675213675216, 'total_value': 532.5, 'avg_price': 28.079999999999995, 'renewable_score': 0.0}"
1,producer_0,15864.36,-12023.64,"[{'timestamp': 0, 'type': 'sell', 'amount': 197, 'price': 26.0, 'counterparty': 'utility_0', 'total_value': 5122.0, 'is_renewable': False}, {'timestamp': 0, 'type': 'maintenance_cost', 'amount': 0, 'price': 11.82, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 0, 'type': 'fine_market_concentration', 'amount': 0, 'price': 6000.0, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'maintenance_cost', 'amount': 0, 'price': 11.82, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'fine_market_concentration', 'amount': 0, 'price': 6000.0, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 2, 'type': 'maintenance_cost', 'amount': 0, 'price': 11.82, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 2, 'type': 'fine_market_concentration', 'amount': 0, 'price': 6000.0, 'counterparty': 'producer_0', 'total_value': 0.0}]","{'total_volume': 197, 'total_value': 5122.0, 'avg_price': 26.0, 'renewable_score': 0.0}"
1,consumer_0,1872.0,0.0,"[{'timestamp': 2, 'type': 'buy', 'amount': 66.66666666666667, 'price': 28.08, 'counterparty': 'utility_0', 'total_value': 1872.0, 'is_renewable': False}]","{'total_volume': 0, 'total_value': 0, 'avg_price': 0, 'renewable_score': 0}"
