,model_statistics,price_volatility,agent_performance,agenttype_statistics
Average_Price_statistics,"{'mean': 27.933333333333334, 'std': 1.127356790609492, 'min': 27.04, 'max': 29.2}",0.04035883498602,,
Total_Production_statistics,"{'mean': 551.3333333333334, 'std': 68.70468203356546, 'min': 472.0, 'max': 591.0}",0.04035883498602,,
Total_Demand_statistics,"{'mean': 197.0, 'std': 0.0, 'min': 197.0, 'max': 197.0}",0.04035883498602,,
Renewable_Ratio_statistics,"{'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}",0.04035883498602,,
Market_Concentration_statistics,"{'mean': 1.0, 'std': 0.0, 'min': 1.0, 'max': 1.0}",0.04035883498602,,
Supply_Demand_Ratio_statistics,"{'mean': 2.7986463620981383, 'std': 0.34875473113485006, 'min': 2.3959390862944163, 'max': 3.0}",0.04035883498602,,
avg_final_resources,,0.04035883498602,inf,
avg_final_profit,,0.04035883498602,-11013.365,
resource_inequality,,0.04035883498602,,
profit_inequality,,0.04035883498602,-0.9152012166911291,
consumeragent_model_data,,0.04035883498602,,"{'Energy_Consumption_statistics': {'mean': 22.222222222222225, 'std': 38.490017945975055, 'min': 0.0, 'max': 66.66666666666667}, 'Energy_Cost_statistics': {'mean': 624.0, 'std': 1080.7997039229795, 'min': 0.0, 'max': 1872.0}}"
prosumeragent_model_data,,0.04035883498602,,"{'Energy_Consumption_statistics': {'mean': 12.642450142450144, 'std': 10.94868298944002, 'min': 0.0, 'max': 18.963675213675216}, 'Energy_Cost_statistics': {'mean': 355.0, 'std': 307.4390183434757, 'min': 0.0, 'max': 532.5}, 'Energy_Production_statistics': {'mean': 34.30156694363195, 'std': 30.098255147986766, 'min': 0.0, 'max': 56.295576805155925}, 'Revenues_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Capacity_Utilization_statistics': {'mean': 0.21476611745304916, 'std': 0.1974430975653594, 'min': 0.0, 'max': 0.3884093668811659}}"
energyproduceragent_model_data,,0.04035883498602,,"{'Market_Share_statistics': {'mean': 0.3333333333333333, 'std': 0.5773502691896258, 'min': 0.0, 'max': 1.0}, 'Energy_Volume_Produced_statistics': {'mean': 551.3333333333334, 'std': 68.70468203356546, 'min': 472.0, 'max': 591.0}, 'Energy_Volume_Sold_statistics': {'mean': 65.66666666666667, 'std': 113.73800303035625, 'min': 0.0, 'max': 197.0}, 'Revenues_statistics': {'mean': 1707.3333333333333, 'std': 2957.1880787892633, 'min': 0.0, 'max': 5122.0}, 'Operational_Margin_statistics': {'mean': 0.2771645511649571, 'std': 0.0567006958485186, 'min': 0.23076923076923073, 'max': 0.3403693931398417}, 'Operational_Costs_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Capacity_Utilization_statistics': {'mean': 0.6755812072811369, 'std': 0.4003963465752266, 'min': 0.2280972597452721, 'max': 1.0}}"
utilityagent_model_data,,0.04035883498602,,"{'Profit_Margin_statistics': {'mean': 0.6666666666666666, 'std': 0.5773502691896258, 'min': 0.0, 'max': 1.0}, 'Energy_Procured_statistics': {'mean': 65.66666666666667, 'std': 113.73800303035625, 'min': 0.0, 'max': 197.0}, 'Renewable_Energy_Procured_(%)_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Energy_Procurement_Costs_statistics': {'mean': 1707.3333333333333, 'std': 2957.1880787892633, 'min': 0.0, 'max': 5122.0}, 'Revenues_statistics': {'mean': 801.5, 'std': 964.5552083732688, 'min': 0.0, 'max': 1872.0}, 'Energy_Distributed_statistics': {'mean': 28.543447293447297, 'std': 34.35025670844974, 'min': 0.0, 'max': 66.66666666666667}}"
regulatoragent_model_data,,0.04035883498602,,"{'Nb_Price_Intervention_statistics': {'mean': 0.6666666666666666, 'std': 0.5773502691896258, 'min': 0.0, 'max': 1.0}, 'Nb_Oligopoly_Intervention_statistics': {'mean': 1.0, 'std': 0.0, 'min': 1.0, 'max': 1.0}, 'Nb_Renewable_Intervention_statistics': {'mean': 1.0, 'std': 0.0, 'min': 1.0, 'max': 1.0}}"
