Step,AgentID,Resources,Profit
0,consumer_0,1082.0,0.0
0,prosumer_0,315.0999999999999,-1002.9000000000001
0,producer_0,4611.580000000002,-6972.419999999998
0,utility_0,18980.199999999997,-4036.800000000003
0,regulator,inf,
1,regulator,inf,
1,producer_0,-10820.839999999997,-22404.839999999997
1,utility_0,29791.099999999995,6774.099999999995
1,prosumer_0,-1000.0,-2318.0
1,consumer_0,0.0,-1082.0
2,prosumer_0,-2007.9,-3325.9
2,regulator,inf,
2,producer_0,-39709.259999999995,-51293.259999999995
2,consumer_0,0.0,-1082.0
2,utility_0,52666.29999999999,29649.29999999999
3,prosumer_0,-3018.3,-4336.3
3,regulator,inf,
3,utility_0,88997.49999999999,65980.49999999999
3,producer_0,-82053.68,-93637.68
3,consumer_0,0.0,-1082.0
4,producer_0,-137854.09999999998,-149438.09999999998
4,regulator,inf,
4,consumer_0,0.0,-1082.0
4,utility_0,138784.69999999998,115767.69999999998
4,prosumer_0,-4031.2000000000003,-5349.200000000001
