Step,AgentID,Production_Type,Market_Share,Energy_Volume_Produced,Energy_Volume_Sold,Revenues,Operational_Margin,Operational_Costs,Capacity_Utilization
0,producer_0,oil,0.7726775956284153,565.0,707,30330.3,0.23076923076923073,0,0.7991513437057991
0,producer_1,oil,0.2273224043715847,552.0,208,6219.200000000001,0.23076923076923073,0,0.8
1,producer_0,oil,0.0,565.0,0,0.0,0.23076923076923073,0,0.7991513437057991
1,producer_1,oil,0.0,552.0,0,0.0,0.23076923076923073,0,0.8
2,producer_0,oil,0.0,565.0,0,0.0,0.23076923076923073,0,0.7991513437057991
2,producer_1,oil,0.0,552.0,0,0.0,0.23076923076923073,0,0.8
3,producer_0,oil,0.0,700.0,0,0.0,0.23076923076923073,0,0.9900990099009901
3,producer_1,oil,0.0,552.0,0,0.0,0.23076923076923073,0,0.20520446096654274
4,producer_0,oil,0.0,700.0,0,0.0,0.23076923076923073,0,0.9900990099009901
4,producer_1,oil,0.0,552.0,0,0.0,0.36813186813186816,0,0.11769722814498934
