,model_statistics,price_volatility,agent_performance,agenttype_statistics
Average_Price_statistics,"{'mean': 88.0, 'std': 0.0, 'min': 88.0, 'max': 88.0}",0.0,,
Total_Production_statistics,"{'mean': 915.0, 'std': 0.0, 'min': 915.0, 'max': 915.0}",0.0,,
Total_Demand_statistics,"{'mean': 915.0, 'std': 0.0, 'min': 915.0, 'max': 915.0}",0.0,,
Renewable_Ratio_statistics,"{'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}",0.0,,
Market_Concentration_statistics,"{'mean': 0.4188183344415279, 'std': 0.15117384886859778, 'min': 0.290787802006064, 'max': 0.6392960690932388}",0.0,,
Supply_Demand_Ratio_statistics,"{'mean': 1.0, 'std': 0.0, 'min': 1.0, 'max': 1.0}",0.0,,
avg_final_resources,,0.0,inf,
avg_final_profit,,0.0,-6544.807436254047,
resource_inequality,,0.0,,
profit_inequality,,0.0,-1.426645244234736,
consumeragent_model_data,,0.0,,"{'Energy_Consumption_statistics': {'mean': 8.839401049015576, 'std': 8.495062383232225, 'min': 0.0, 'max': 19.681818181818183}, 'Energy_Cost_statistics': {'mean': 296.2, 'std': 586.5082727195565, 'min': 0.0, 'max': 1732.0000000000002}}"
prosumeragent_model_data,,0.0,,"{'Energy_Consumption_statistics': {'mean': 8.15444654993192, 'std': 8.729924735011288, 'min': 0.0, 'max': 23.742043827066244}, 'Energy_Cost_statistics': {'mean': 844.2430710709373, 'std': 828.0690116006779, 'min': 0.0, 'max': 2089.2998567818295}, 'Energy_Production_statistics': {'mean': 57.82083344480646, 'std': 44.030746604548405, 'min': 7.739664162168475e-31, 'max': 133.32945898890958}, 'Revenues_statistics': {'mean': 141.69355740421727, 'std': 385.3557880726835, 'min': 0.0, 'max': 1309.1498567818294}, 'Capacity_Utilization_statistics': {'mean': 0.4054069832205448, 'std': 0.3077108324493953, 'min': 6.898807677729901e-33, 'max': 0.8948285838181851}}"
energyproduceragent_model_data,,0.0,,"{'Market_Share_statistics': {'mean': 0.1, 'std': 0.24691567213555754, 'min': 0.0, 'max': 0.7726775956284153}, 'Energy_Volume_Produced_statistics': {'mean': 585.5, 'std': 60.637813651585795, 'min': 552.0, 'max': 700.0}, 'Energy_Volume_Sold_statistics': {'mean': 91.5, 'std': 225.92784000403512, 'min': 0.0, 'max': 707.0}, 'Revenues_statistics': {'mean': 3654.95, 'std': 9574.381045877935, 'min': 0.0, 'max': 30330.3}, 'Operational_Margin_statistics': {'mean': 0.24450549450549447, 'std': 0.04343787994736786, 'min': 0.23076923076923073, 'max': 0.36813186813186816}, 'Operational_Costs_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Capacity_Utilization_statistics': {'mean': 0.710055374003091, 'std': 0.3001288382717373, 'min': 0.11769722814498934, 'max': 0.9900990099009901}}"
utilityagent_model_data,,0.0,,"{'Profit_Margin_statistics': {'mean': 0.3, 'std': 0.4830458915396479, 'min': 0.0, 'max': 1.0}, 'Energy_Procured_statistics': {'mean': 91.5, 'std': 221.1662270781866, 'min': 0.0, 'max': 687.0}, 'Renewable_Energy_Procured_(%)_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Energy_Procurement_Costs_statistics': {'mean': 3654.95, 'std': 9339.977588035208, 'min': 0.0, 'max': 29472.3}, 'Revenues_statistics': {'mean': 917.1896495718571, 'std': 1788.94782398474, 'min': 0.0, 'max': 5528.19649571857}, 'Energy_Distributed_statistics': {'mean': 10.42260965422565, 'std': 20.328952545281137, 'min': 0.0, 'max': 62.820414724074666}}"
regulatoragent_model_data,,0.0,,"{'Nb_Price_Intervention_statistics': {'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0}, 'Nb_Oligopoly_Intervention_statistics': {'mean': 0.4, 'std': 0.894427190999916, 'min': 0.0, 'max': 2.0}, 'Nb_Renewable_Intervention_statistics': {'mean': 2.0, 'std': 0.0, 'min': 2.0, 'max': 2.0}}"
